,X,Y,objectid,Designação,nome_escola,endereco,bairro,cre,cod_atividade,globalid,cod_microarea,Código da Escola_x,Nome da Escola_x,Média - 6º a 9º ano,Taxa de Aprovação - 2021 - 6º,Taxa de Aprovação - 2021 - 7º,Taxa de Aprovação - 2021 - 8º,Taxa de Aprovação - 2021 - 9º,Indicador de Rendimento (P)_x,Nota SAEB - 2021 - Matemática_x,Nota SAEB - 2021 - Língua Portuguesa_x,Nota SAEB - 2021 - Nota Média Padronizada (N),IDEB 2021 (N x P)_x,Código da Escola_y,Nome da Escola_y,Taxa de Aprovação - 2021 - 1º ao 5º ano,Taxa de Aprovação - 2021 - 1º,Taxa de Aprovação - 2021 - 2º,Taxa de Aprovação - 2021 - 3º,Taxa de Aprovação - 2021 - 4º,Taxa de Aprovação - 2021 - 5º,Indicador de Rendimento (P)_y,Nota SAEB - 2021 - Matemática_y,Nota SAEB - 2021 - Língua Portuguesa_y,Nota Média Padronizada (N),IDEB 2021 (N x P)_y
964,-43.327587566423,-22.9728073837821,17314.0,716005,Classe em Cooperação Adalgisa Monteiro,"Estr. Bouganville, 346  ",Jacarepagua,7.0,1.0,{B735DE9D-010C-4718-9AAD-E0DAD25C47C7},7.22,,,,,,,,,,,,,,,,,,,,,,,,,
965,-43.3668459104597,-22.8953392465181,17315.0,716068,Escola Municipal Maria da Silva França,"Rua Antonio Carlos Paranhos, S/Nº  ",Vila Valqueire,7.0,1.0,{C75C785E-4B47-42B2-9CC2-870D964ADED6},7.1,,,,,,,,,,,,,33078149.0,ESCOLA MUNICIPAL MARIA DA SILVA FRANCA,96.8,96.5,96.7,96.9,97.4,96.6,0.96819,212.66,204.54,5.741359,5.6
966,-43.2694502441,-22.8671048688434,17318.0,312037,Escola Municipal Professora Vera Saback Sampaio,"Trav. Guajanauto, S/Nº  ",Complexo do Alemão,3.0,1.0,{49A29365-A81A-4975-8133-18B1A9950934},3.24,,,,,,,,,,,,,33071225.0,ESCOLA MUNICIPAL PROFESSORA VERA SABACK SAMPAIO,100.0,100,100,100,100,100.0,1.0,174.86,164.76,4.296712,4.3
967,-43.7037438351723,-22.9067147111791,17322.0,1019209,CIEP Papa João XXIII,Av. João XXIII S/Nº  ,Santa Cruz,10.0,3.0,{CA6F211A-EA89-467C-8CA4-20E4C65DA70B},10.7,,,,,,,,,,,,,33084130.0,CIEP PAPA JOAO XXIII,100.0,100,100,100,100,100.0,1.0,203.55,190.65,5.314958,5.3
968,-43.4298235795339,-23.008667147147,17323.0,724501,Escola Municipal Vice Almirante Paulo Castro Moreira da Silva,"Av. Adolpho de Vasconcelos, 264  ",Barra da Tijuca,7.0,1.0,{EA4473C8-F2F5-4261-B07B-CAB3305B8CDA},7.30,,,,,,,,,,,,,33087970.0,ESCOLA MUNICIPAL VICE ALMIRANTE PAULO CASTRO MOREIRA DA SILVA,95.3,96.2,91.8,93.8,93.5,100.0,0.949768,235.63,222.86,6.512808,6.2
969,-43.6930757033505,-22.9236665997719,17324.0,1019015,Escola Municipal Princesa Isabel,"Rua do Matadouro, 135  ",Santa Cruz,10.0,1.0,{198D164F-767D-4DEA-88FF-995BD04970BF},10.11,33084939.0,ESCOLA MUNICIPAL PRINCESA ISABEL,99.4,-,98.8,99.0,100.0,0.992639,235.11,237.35,4.541,4.5,,,,,,,,,,,,,
970,-43.1969679772032,-22.9097043859536,17325.0,102504,CIEP Avenida dos Desfiles,"Av. Salvador de Sá, S/Nº",Cidade Nova,1.0,3.0,{3603A2EA-4A4B-4572-957C-02A99D019EBC},1.9,,,,,,,,,,,,,,,,,,,,,,,,,
971,-43.2288337301877,-22.9133117568752,17326.0,209006,Escola Municipal Friedenreich,"Av. Maracanã, 350 - Suderj  ",Maracanã,2.0,1.0,{BF6D9482-C085-49D0-A13B-2DA562F55B34},2.15,,,,,,,,,,,,,,,,,,,,,,,,,
972,-43.2182720436849,-22.8800279441971,17327.0,101008,Escola Municipal Marechal Esperidião Rosas,"Rua Duque de Caxias, 5  ",Caju,1.0,1.0,{CB9E606A-411B-4F14-BE94-1FE33DB9F352},1.1,,,,,,,,,,,,,33062463.0,ESCOLA MUNICIPAL MARECHAL ESPERIDIAO ROSAS,100.0,100,100,100,100,100.0,1.0,230.17,221.2,6.378428,6.4
973,-43.251038365969,-22.9297603901278,17328.0,209020,Escola Municipal Epitácio Pessoa,"Rua Ernesto de Souza, 153  ",Andarai,2.0,1.0,{E59BBC89-09B4-4870-A42A-3671A0DAC0F8},2.16,33068259.0,ESCOLA MUNICIPAL EPITACIO PESSOA,98.6,-,97.2,100.0,98.7,0.9862,273.68,264.56,5.637333,5.6,,,,,,,,,,,,,
